Experiment	bias spectroscopy	
4.30000E-3	648.132E-12	268.085E-3	-87.8635E-3	1.09058E+0	-10.6281E-9
4.29167E-3	651.055E-12	271.532E-3	-55.3384E-3	1.09058E+0	-10.6281E-9
4.28333E-3	650.859E-12	328.826E-3	6.72282E-3	1.09058E+0	-10.6281E-9
4.27500E-3	648.721E-12	353.997E-3	-37.0926E-3	1.09058E+0	-10.6281E-9
4.26667E-3	650.172E-12	302.785E-3	-51.6521E-3	1.09058E+0	-10.6281E-9
4.25833E-3	648.091E-12	321.817E-3	15.8676E-3	1.09058E+0	-10.6281E-9
4.25000E-3	648.230E-12	381.927E-3	10.7007E-3	1.09058E+0	-10.6281E-9
4.24167E-3	648.254E-12	383.306E-3	-21.5393E-3	1.09058E+0	-10.6281E-9
4.23333E-3	646.162E-12	330.348E-3	-26.2146E-3	1.09058E+0	-10.6281E-9
4.22500E-3	640.636E-12	301.252E-3	-15.9693E-3	1.09059E+0	-10.6281E-9
4.21667E-3	638.976E-12	332.813E-3	-416.971E-6	1.09058E+0	-10.6281E-9
4.20833E-3	636.640E-12	338.805E-3	40.7491E-3	1.09058E+0	-10.6281E-9
4.20000E-3	635.661E-12	277.685E-3	52.3823E-3	1.09059E+0	-10.6281E-9
4.19167E-3	631.489E-12	235.148E-3	34.2610E-3	1.09059E+0	-10.6281E-9
4.18333E-3	626.988E-12	273.229E-3	11.8513E-3	1.09059E+0	-10.6281E-9
4.17500E-3	619.716E-12	299.449E-3	6.18439E-3	1.09058E+0	-10.6281E-9
4.16667E-3	618.688E-12	311.389E-3	16.3810E-3	1.09058E+0	-10.6281E-9
4.15833E-3	619.018E-12	298.652E-3	6.16679E-3	1.09058E+0	-10.6281E-9
4.15000E-3	622.919E-12	294.257E-3	-9.97365E-3	1.09059E+0	-10.6281E-9
4.14167E-3	623.010E-12	282.643E-3	-36.9286E-3	1.09059E+0	-10.6281E-9
4.13333E-3	623.986E-12	276.837E-3	-14.1129E-3	1.09057E+0	-10.6281E-9
4.12500E-3	623.300E-12	306.935E-3	25.5862E-3	1.09056E+0	-10.6281E-9
4.11667E-3	626.414E-12	338.780E-3	-2.31893E-3	1.09057E+0	-10.6281E-9
4.10833E-3	628.556E-12	312.566E-3	-37.9074E-3	1.09057E+0	-10.6281E-9
4.10000E-3	629.112E-12	270.998E-3	13.6034E-3	1.09058E+0	-10.6281E-9
4.09167E-3	630.227E-12	295.559E-3	9.93134E-3	1.09057E+0	-10.6281E-9
4.08333E-3	630.295E-12	288.235E-3	-50.4566E-3	1.09058E+0	-10.6281E-9
4.07500E-3	629.329E-12	287.950E-3	-24.7035E-3	1.09058E+0	-10.6281E-9
4.06667E-3	627.545E-12	342.057E-3	44.9959E-3	1.09057E+0	-10.6281E-9
4.05833E-3	625.842E-12	380.667E-3	24.1409E-3	1.09057E+0	-10.6281E-9
4.05000E-3	622.213E-12	326.964E-3	-59.6298E-3	1.09057E+0	-10.6281E-9
4.04167E-3	621.442E-12	278.818E-3	-64.7172E-3	1.09057E+0	-10.6281E-9
4.03333E-3	620.041E-12	304.570E-3	21.4326E-3	1.09058E+0	-10.6281E-9
4.02500E-3	616.001E-12	385.645E-3	64.6181E-3	1.09058E+0	-10.6281E-9
4.01667E-3	611.526E-12	402.352E-3	7.05515E-3	1.09058E+0	-10.6281E-9
4.00833E-3	607.740E-12	337.584E-3	-7.59379E-3	1.09057E+0	-10.6281E-9
4.00000E-3	606.221E-12	300.446E-3	19.8739E-3	1.09058E+0	-10.6281E-9
3.99167E-3	605.026E-12	281.570E-3	39.9766E-3	1.09058E+0	-10.6281E-9
3.98333E-3	601.327E-12	279.563E-3	44.7840E-3	1.09058E+0	-10.6281E-9
3.97500E-3	597.894E-12	297.075E-3	82.6894E-3	1.09058E+0	-10.6281E-9
3.96667E-3	596.804E-12	302.044E-3	109.218E-3	1.09058E+0	-10.6281E-9
3.95833E-3	598.124E-12	290.665E-3	97.9449E-3	1.09058E+0	-10.6281E-9
3.95000E-3	596.915E-12	324.605E-3	39.6117E-3	1.09057E+0	-10.6281E-9
3.94167E-3	596.060E-12	316.565E-3	-11.1109E-3	1.09058E+0	-10.6281E-9
3.93333E-3	597.811E-12	285.542E-3	23.3721E-3	1.09058E+0	-10.6281E-9
3.92500E-3	596.493E-12	279.796E-3	40.7765E-3	1.09058E+0	-10.6281E-9
3.91667E-3	598.422E-12	293.086E-3	7.77944E-3	1.09058E+0	-10.6281E-9
3.90833E-3	601.497E-12	278.112E-3	-22.2853E-3	1.09058E+0	-10.6281E-9
3.90000E-3	601.061E-12	268.332E-3	13.6397E-3	1.09057E+0	-10.6281E-9
3.89167E-3	600.844E-12	316.397E-3	10.6631E-3	1.09057E+0	-10.6281E-9
3.88333E-3	601.252E-12	343.399E-3	-30.2363E-3	1.09057E+0	-10.6281E-9
3.87500E-3	597.042E-12	345.768E-3	-43.4644E-3	1.09057E+0	-10.6281E-9
3.86667E-3	589.837E-12	347.145E-3	-16.5174E-3	1.09057E+0	-10.6281E-9
3.85833E-3	588.158E-12	330.855E-3	-14.3747E-3	1.09059E+0	-10.6281E-9
3.85000E-3	588.736E-12	296.107E-3	-24.1495E-3	1.09058E+0	-10.6281E-9
3.84167E-3	590.110E-12	299.098E-3	-6.20738E-3	1.09059E+0	-10.6281E-9
3.83333E-3	588.371E-12	298.213E-3	12.2385E-3	1.09058E+0	-10.6281E-9
3.82500E-3	582.707E-12	310.278E-3	28.2050E-3	1.09059E+0	-10.6281E-9
3.81667E-3	582.986E-12	339.928E-3	2.78554E-3	1.09059E+0	-10.6281E-9
3.80833E-3	584.740E-12	333.477E-3	-36.1575E-3	1.09058E+0	-10.6281E-9
3.80000E-3	584.606E-12	267.725E-3	14.4969E-3	1.09058E+0	-10.6281E-9
3.79167E-3	581.858E-12	302.383E-3	102.720E-3	1.09057E+0	-10.6281E-9
3.78333E-3	580.225E-12	385.267E-3	61.5879E-3	1.09058E+0	-10.6281E-9
3.77500E-3	576.732E-12	367.540E-3	30.2966E-3	1.09059E+0	-10.6281E-9
3.76667E-3	577.006E-12	329.243E-3	31.3008E-3	1.09058E+0	-10.6281E-9
3.75833E-3	579.305E-12	297.118E-3	22.9413E-3	1.09058E+0	-10.6281E-9
3.75000E-3	577.358E-12	278.414E-3	14.0525E-3	1.09058E+0	-10.6281E-9
3.74167E-3	574.775E-12	296.744E-3	21.2982E-3	1.09058E+0	-10.6281E-9
3.73333E-3	572.351E-12	384.505E-3	-19.1106E-3	1.09059E+0	-10.6281E-9
3.72500E-3	570.614E-12	389.737E-3	-124.890E-3	1.09058E+0	-10.6281E-9
3.71667E-3	569.871E-12	294.983E-3	-136.469E-3	1.09057E+0	-10.6281E-9
3.70833E-3	571.108E-12	253.096E-3	-54.0253E-3	1.09058E+0	-10.6281E-9
3.70000E-3	569.632E-12	311.729E-3	-14.6269E-3	1.09058E+0	-10.6281E-9
3.69167E-3	568.316E-12	318.704E-3	-38.3249E-3	1.09058E+0	-10.6281E-9
3.68333E-3	567.073E-12	293.456E-3	-31.8967E-3	1.09056E+0	-10.6281E-9
3.67500E-3	564.508E-12	314.133E-3	-52.6871E-3	1.09056E+0	-10.6281E-9
3.66667E-3	565.073E-12	331.787E-3	-50.2345E-3	1.09057E+0	-10.6281E-9
3.65833E-3	565.919E-12	299.149E-3	-45.0856E-3	1.09058E+0	-10.6281E-9
3.65000E-3	565.378E-12	275.506E-3	-19.0712E-3	1.09057E+0	-10.6281E-9
3.64167E-3	562.432E-12	327.315E-3	8.95060E-3	1.09058E+0	-10.6281E-9
3.63333E-3	560.627E-12	339.528E-3	4.10573E-3	1.09058E+0	-10.6281E-9
3.62500E-3	559.175E-12	305.727E-3	-17.3816E-3	1.09057E+0	-10.6281E-9
3.61667E-3	560.531E-12	270.556E-3	-24.5898E-3	1.09060E+0	-10.6281E-9
3.60833E-3	560.528E-12	303.049E-3	-22.8793E-3	1.09057E+0	-10.6281E-9
3.60000E-3	560.312E-12	305.849E-3	-28.5308E-3	1.09058E+0	-10.6281E-9
3.59167E-3	559.999E-12	300.511E-3	-7.43988E-3	1.09058E+0	-10.6281E-9
3.58333E-3	557.759E-12	337.229E-3	-25.8339E-3	1.09059E+0	-10.6281E-9
3.57500E-3	556.229E-12	370.651E-3	-41.7948E-3	1.09058E+0	-10.6281E-9
3.56667E-3	555.755E-12	331.854E-3	-51.7711E-3	1.09058E+0	-10.6281E-9
3.55833E-3	555.140E-12	252.386E-3	-24.9876E-3	1.09059E+0	-10.6281E-9
3.55000E-3	552.628E-12	239.327E-3	15.1481E-3	1.09058E+0	-10.6281E-9
3.54167E-3	551.040E-12	262.337E-3	41.9241E-3	1.09058E+0	-10.6281E-9
3.53333E-3	550.335E-12	283.393E-3	-825.093E-6	1.09058E+0	-10.6281E-9
3.52500E-3	548.934E-12	265.945E-3	-53.2378E-3	1.09058E+0	-10.6281E-9
3.51667E-3	545.760E-12	268.359E-3	-42.4271E-3	1.09058E+0	-10.6281E-9
3.50833E-3	541.405E-12	295.270E-3	-9.24500E-3	1.09058E+0	-10.6281E-9
3.50000E-3	540.726E-12	349.163E-3	-34.6051E-3	1.09058E+0	-10.6281E-9
3.49167E-3	539.691E-12	359.777E-3	-77.7067E-3	1.09058E+0	-10.6281E-9
3.48333E-3	537.091E-12	355.540E-3	-46.3651E-3	1.09058E+0	-10.6281E-9
3.47500E-3	537.031E-12	325.871E-3	-24.0777E-3	1.09058E+0	-10.6281E-9
3.46667E-3	536.938E-12	315.972E-3	-3.04738E-3	1.09058E+0	-10.6281E-9
3.45833E-3	536.817E-12	332.183E-3	-2.88737E-3	1.09057E+0	-10.6281E-9
3.45000E-3	535.675E-12	309.190E-3	19.0838E-3	1.09058E+0	-10.6281E-9
3.44167E-3	534.062E-12	285.509E-3	32.9093E-3	1.09058E+0	-10.6281E-9
3.43333E-3	531.888E-12	289.768E-3	19.8871E-3	1.09058E+0	-10.6281E-9
3.42500E-3	529.166E-12	302.324E-3	-21.2188E-3	1.09057E+0	-10.6281E-9
3.41667E-3	531.151E-12	274.363E-3	-45.5582E-3	1.09058E+0	-10.6281E-9
3.40833E-3	531.955E-12	281.468E-3	-39.6259E-3	1.09058E+0	-10.6281E-9
3.40000E-3	530.185E-12	301.712E-3	-482.584E-6	1.09057E+0	-10.6281E-9
3.39167E-3	525.784E-12	342.738E-3	16.1885E-3	1.09058E+0	-10.6281E-9
3.38333E-3	526.096E-12	371.252E-3	-15.3804E-3	1.09058E+0	-10.6281E-9
3.37500E-3	525.464E-12	381.487E-3	-21.4316E-3	1.09057E+0	-10.6281E-9
3.36667E-3	524.679E-12	357.909E-3	-16.2147E-3	1.09058E+0	-10.6281E-9
3.35833E-3	523.266E-12	341.511E-3	1.74906E-3	1.09058E+0	-10.6281E-9
3.35000E-3	520.785E-12	314.820E-3	14.1791E-3	1.09058E+0	-10.6281E-9
3.34167E-3	521.000E-12	309.496E-3	35.1931E-3	1.09058E+0	-10.6281E-9
