Work Function data
299.1,294.5,293.2,290.9,289.7,289.6,289.6,292.0,292.2,289.6,291.2,291.8,
308.9,308.4,310.3,310.3,308.3,308.9,309.3,308.8,306.6,300.6,295.1,291.4,
Time data
0.0,2.2,5.0,7.5,10.3,12.8,15.3,18.2,20.8,23.9,26.9,29.2,
60.3,57.3,54.8,51.9,49.0,46.5,44.0,41.3,38.6,36.5,34.3,32.2,
62.4,64.6,67.1,69.7,72.6,75.1,77.6,80.6,83.3,86.3,88.8,91.3,
122.3,119.3,116.7,114.0,111.0,108.4,105.6,103.0,100.6,98.5,96.3,94.2,
124.4,126.6,128.7,131.7,134.4,137.4,140.1,143.2,145.8,148.6,150.8,153.3,
184.2,181.8,178.9,176.4,173.7,170.7,167.9,165.5,163.0,160.8,158.7,156.5,
186.4,188.5,190.7,193.2,195.7,198.5,201.1,204.1,206.8,209.4,212.4,215.2,
246.7,243.5,240.3,237.8,235.3,232.8,229.9,227.4,224.7,222.6,220.4,218.3,
248.8,251.2,253.7,256.6,259.1,262.0,264.5,267.1,269.8,272.8,275.5,278.2,
308.6,305.9,302.9,300.4,297.5,294.9,292.0,289.5,287.3,284.9,282.8,280.7,
310.7,312.8,315.3,317.8,320.5,323.5,326.3,329.4,331.9,334.4,337.3,339.8,
370.2,367.7,364.9,362.4,359.5,356.5,353.8,351.2,348.7,346.6,344.4,342.3,
22/02/2023 18:20:40
Probe Amplitude      = 50
Probe Frequency (Hz) = 68.9
Probe Trigger        = 146
Probe Vb             = 7000
Probe DC             = 0
DAS Points           = 100
DAS Rate (Hz)        = 13500
DAS Signal Average   = 3
DAS Gain             = 1
Meas Points          = 1250
Meas Voltage Steps   = 1
Meas WF Average      = 1
Meas Vb+             = 7000
Meas Vb-             = -7000
Meas Delay           = 0
Gradient Required    = 300
Gradient Bounts      = 10
Gradient Large Step  = 5
Gradient Small Step  = 1
Gradient Track Invert= -1
XPoints              = 12
YPoints              = 12
XSteps               = 1400
YSteps               = 1400
