--	pristine	30 min	60 min
491.7	542.632435436417	601.4	658.87
491.97	538.204138607388	604.55	662.17
492.25	536.268891794704	596.08	645.9
492.52	538.384514547238	591.55	636.67
492.8	543.713942464858	593.17	641.91
493.07	554.696920562275	580.11	624.08
493.35	563.452347172279	591.66	636.06
493.62	570.913808434129	593.33	634.7
493.9	574.796149068323	590.76	633.53
494.17	569.071075514874	601	648.35
494.45	562.080719189278	604.36	653.42
494.72	560.001046093495	602.73	649.17
495	557.36796665577	598.11	643
495.27	555.822095456032	598.85	644
495.55	562.682922523701	591.42	632.8
495.82	574.570781301079	580.12	616.73
496.1	578.712736188297	574.29	607.99
496.37	573.315057208238	578.99	614.41
496.65	563.038453743054	575.21	607.45
496.92	547.832232755803	586.12	622.33
497.2	533.462984635502	584.75	618.36
497.47	522.866933638444	587.41	622.27
497.74	517.52007518797	586.56	618.76
498.02	517.79697286695	575.66	607.88
498.29	521.310457665904	571.13	600.32
498.57	522.613573063093	557.91	581.71
498.84	518.1639457339	564.36	590.71
499.12	514.345348152991	557.74	586.33
499.39	511.879892121609	560.61	593.07
499.67	506.748545276234	559.8	588.95
499.94	502.312566198104	567.71	599.64
500.21	505.961095129127	567.96	598.77
500.49	516.224648577967	568.28	602.09
500.76	527.255612945407	564.11	595.53
501.04	536.405622752534	565.94	598.78
501.31	538.366907486107	571.72	607.01
501.59	535.26814645309	586.16	629.28
